"img","label","stillImageUUID","stillImageInternalFilename","hasStandoffLinkToValue","seqnumStr","partOfTitleStr","partOf","hasRecipientLabel","hasAuthorLabel","sytemNumberStr"
"http://rdfh.ch/0801/YI0nUq4NSZeq-Ku-eq23hg","1120865.tif","sZh8HdzPQFOISeeJuhSUeQ","Bcvk8WtYsJu-BqMj725anoW.jpx",,"0","1740-07-19_Bousquet_Marc-Michel-Bernoulli_Johann_I","http://rdfh.ch/0801/5BRzaFTUSo6zZ4--YSdNqA","Johann I Bernoulli","Marc-Michel Bousquet","000055652"
"http://rdfh.ch/0801/hsr6LXc3QMe7FVztT6vKDg","1120866.tif","y_MVPcaTSoOmHiWWMaI2YA","1Y5ZGzYtZES-BTnvEKHnjCZ.jpx",,"1","1740-07-19_Bousquet_Marc-Michel-Bernoulli_Johann_I","http://rdfh.ch/0801/5BRzaFTUSo6zZ4--YSdNqA","Johann I Bernoulli","Marc-Michel Bousquet","000055652"
"http://rdfh.ch/0801/Xw6N3PvFR864u9yS88hRwg","1120867.tif","eIbvBz3MQdCP44o1cgKInw","LHEOzFptzFP-CQLecGMp4vg.jpx",,"2","1740-07-19_Bousquet_Marc-Michel-Bernoulli_Johann_I","http://rdfh.ch/0801/5BRzaFTUSo6zZ4--YSdNqA","Johann I Bernoulli","Marc-Michel Bousquet","000055652"
"http://rdfh.ch/0801/ASQMUK4_Qmq9N4pYot3-Zg","Ms_H_321a_s251.tif","CsZqDzjqRsChvJoLDwHfvw","Eo8Lz6YDg4B-CXZW5efzPdP.jpx",,"0","1719-06-17_Bernoulli_Nicolaus_I-Scheuchzer_Johannes","http://rdfh.ch/0801/5-fUXg0cTtKAABhM2iD6FA","Johann Scheuchzer","Niklaus I Bernoulli","000059481"
"http://rdfh.ch/0801/EFM-2sRVQoiWox44HLUauA","1039970.tif","ZDiill5pTqqEJMl1MuFN2g","BmcPNpk2Wsn-BveO4IAZkjl.jpx",,"0","1719-04-22_Bernoulli_Nicolaus_I-Scheuchzer_Johannes","http://rdfh.ch/0801/-DlEoy2-Ss6Ok4V5_xQvtA","Johann Scheuchzer","Niklaus I Bernoulli","000059479"
"http://rdfh.ch/0801/cLokEPcJTVuao55xhfKSJw","1039971.tif","ZgHMFdCwR9WWhIOioFiDqQ","A4QhAsVCEIT-BBKmdXyy1bS.jpx",,"1","1719-04-22_Bernoulli_Nicolaus_I-Scheuchzer_Johannes","http://rdfh.ch/0801/-DlEoy2-Ss6Ok4V5_xQvtA","Johann Scheuchzer","Niklaus I Bernoulli","000059479"
"http://rdfh.ch/0801/nYSgm8UXRvKa74jDVOv5Ug","1039976.tif","tuNshWwBS_qGmTY1cEcwOg","AmyOmGToZAj-DyrHEBtQVTz.jpx",,"0","1719-05-20_Bernoulli_Nicolaus_I-Scheuchzer_Johannes","http://rdfh.ch/0801/xCrsv53MRgqy12d-36fbUA","Johann Scheuchzer","Niklaus I Bernoulli","000059480"
"http://rdfh.ch/0801/SYUplGWlSambdN_jp0tjcg","1042949.tif","pWhp5EJ8QDitXiL23qR8nQ","4yEyp05ALzt-DD3lM4hlYDA.jpx",,"0","1717-09-24_Hermann_Jacob-Bernoulli_Johann_I","http://rdfh.ch/0801/jmf7RuAYTTe_2jonl_qe7w","Johann I Bernoulli","Jacob Hermann","000055971"
"http://rdfh.ch/0801/rfD1QI8zTtSGx12iPJW9FQ","1042950.tif","8RuUU5A9SzCXSShjD04DLA","Khlk4rKKmc9-FhhcAAIwz5o.jpx",,"1","1717-09-24_Hermann_Jacob-Bernoulli_Johann_I","http://rdfh.ch/0801/jmf7RuAYTTe_2jonl_qe7w","Johann I Bernoulli","Jacob Hermann","000055971"
"http://rdfh.ch/0801/4D9u090ET9Crmpo50OC9KQ","1042951.tif","96LN5WUxQbmaY1ouRpga5g","FaprQeAkE4E-EAOJ8gUhMpv.jpx",,"2","1717-09-24_Hermann_Jacob-Bernoulli_Johann_I","http://rdfh.ch/0801/jmf7RuAYTTe_2jonl_qe7w","Johann I Bernoulli","Jacob Hermann","000055971"
"http://rdfh.ch/0801/extBVdofRNWEvFppskyIQg","1042952.tif","dvzDiGoTT-ucG_1zcxl6Ng","7GWr9MthFgn-B4LzbyoEouv.jpx",,"3","1717-09-24_Hermann_Jacob-Bernoulli_Johann_I","http://rdfh.ch/0801/jmf7RuAYTTe_2jonl_qe7w","Johann I Bernoulli","Jacob Hermann","000055971"
